Month,Day,Amount,branch,,,,,"Group By, Aggregate Functions",,,,,,,,
feb,13,124,bangalore,,,,,,,,,,,,,
feb,17,20400,chicago,,,,,,,,,,,,,
feb,212,320,sydney,,,,,,Get Total Sum of amount  generated for each month,,,,,,,
mar,22,9600,bangalore,,,,,,Get Maximum Transaction generated for each month,,,,,,,
mar,16,5200,chicago,,,,,,Get Minimum Amount generated for each month,,,,,,,
april,12,23,sydney,,,,,,Get Average Amount generated for each month,,,,,,,
Jan,13,666,bangalore,,,,,,No of Transactions occurred for each month,,,,,,,
may,2,3111,sydney,,,,,,Get the Transactions which occurred less than 2 for any month,,,,,,,
may,1,99999,paris,,,,,,"Get Total Sum of amount  generated for each month only in Bangalore
or Chicago branches",,,,,,,
Jan,12,2000,paris,,,,,,Get the month which has total sale amount lesss than 1000 when I combine both sydney and paris branches,,,,,,,
,,,,,,,,,Which branch have more than total sum of 4000Bucks in Feb,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,info@qaclickacademy.com,,,,,,,
,,,,,,,,,,,,,,,,
,CREATE TABLE Transactions,,,,,,,,,,,,,,,
,"(Month varchar(50),",,,,,,Bangalore,,,,,,,,,
,"Day int(50),",,,,,feb,13,124,,,,,,,,
,"Amount int(50),",,,,,,,,,,,,,,,
,branch varchar(50));,,,,,,Chicago,,,,,,,,,
,,,,,,feb,17,20400,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,Sydney,,,,,,,,,
,,,,,,feb,212,320,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,1,,,,,,,,,
,,,,,,,,,,,,,,,,
